Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0094907,0.0010372,-0.023952,0,0,0,3.3841,0.027005,1.1729E-05,0.00040697,0.02713,5.7164E-05,0.048504,0,0,0,0,0,0,package://zong_zuang/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/base_link.STL,,AGV Joft-1/front_left-1/zuo qian lun-a-1;AGV Joft-1/front_left-1/zuo qian lun-f-2;AGV Joft-1/front_left-1/zuo qian lun-d-1;AGV Joft-1/front_left-1/zuo qian lun-e-1;AGV Joft-1/Ajv-a-2;AGV Joft-1/front_left-1/zuo qian lun-c-1;AGV Joft-1/zuo qian lun-h-2;AGV Joft-1/front_left-1/joint_wheel_front_left-1;AGV Joft-1/Ajv-c-1;AGV Joft-1/Ajv-b-1;AGV Joft-1/zuo qian lun-h-1;AGV Joft-1/zuo qian lun-m-1;AGV Joft-1/zuo qian lun-k-1;AGV Joft-1/_X2_5C0F8F664E0A591658F3_X0_202-1;AGV Joft-1/zuo qian lun-n-1;joint_ankle-1/ankle-j-1/1-185265400_1-1;AGV Joft-1/zuo qian lun-o-1;AGV Joft-1/front_left-3/zuo qian lun-f-1;AGV Joft-1/front_left-3/zuo qian lun-a-1;AGV Joft-1/front_left-3/zuo qian lun-c-1;AGV Joft-1/front_left-3/zuo qian lun-d-1;AGV Joft-1/front_left-3/zuo qian lun-e-1;AGV Joft-1/Ajv-b-2;AGV Joft-1/Ajv-D-1;AGV Joft-1/zuo qian lun-g-1;AGV Joft-1/zuo qian lun-z-1;AGV Joft-1/Ajv-G-1;AGV Joft-1/Ajv-G-2;AGV Joft-1/Ajv-D-2;AGV Joft-1/Ajv-F-1;AGV Joft-1/Ajv-H-1;AGV Joft-1/Ajv-a-1;AGV Joft-1/front_left-4/zuo qian lun-f-2;AGV Joft-1/front_left-4/zuo qian lun-e-1;AGV Joft-1/front_left-4/zuo qian lun-f-1;AGV Joft-1/front_left-4/zuo qian lun-d-1;AGV Joft-1/front_left-4/zuo qian lun-a-1;AGV Joft-1/zuo qian lun-t-1;AGV Joft-1/zuo qian lun-y-1;AGV Joft-1/zuo qian lun-y-2;AGV Joft-1/front_left-4/joint_wheel_front_left-1;AGV Joft-1/front_left-4/zuo qian lun-c-1;AGV Joft-1/front_left-5/joint_wheel_front_left-1;AGV Joft-1/front_left-3/joint_wheel_front_left-1;AGV Joft-1/front_left-5/zuo qian lun-c-1;AGV Joft-1/front_left-5/zuo qian lun-f-1;AGV Joft-1/front_left-5/zuo qian lun-e-1;AGV Joft-1/front_left-5/zuo qian lun-d-1;AGV Joft-1/front_left-5/zuo qian lun-a-1;AGV Joft-1/front_left-5/zuo qian lun-f-2;AGV Joft-1/front_left-3/zuo qian lun-f-2;AGV Joft-1/front_left-1/zuo qian lun-f-1,base_xi,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_front_left,0.00036542,0.092546,-8.8457E-07,0,0,0,0.68938,0.00082989,2.0336E-06,-6.363E-09,0.0013443,6.5847E-09,0.00082986,0,0,0,0,0,0,package://zong_zuang/meshes/wheel_front_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://zong_zuang/meshes/wheel_front_left.STL,,joint_wheel_front_right-1/Mai nun-1/Mai_nui-1;joint_wheel_front_right-1/Mai nun-1/Mai_lui_aa-1;joint_wheel_front_right-1/Zhuo qian nun-b-1,fl_lun_xi,qianlun_zhou,joint_wheel_front_left,continuous,0.18017,0.043587,-0.107,0,0,0,base_link,0.0039253,0.99999,0,,,,,,,,,,,,
wheel_front_right,-0.00036563,-0.092546,-1.4331E-07,0,0,0,0.68938,0.00082989,2.0299E-06,-3.2094E-09,0.0013443,-1.0659E-08,0.00082985,0,0,0,0,0,0,package://zong_zuang/meshes/wheel_front_right.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/wheel_front_right.STL,,joint_wheel_front_left-1/Mai nun-1/Mai_lui_aa-1;joint_wheel_front_left-1/Mai nun-1/Mai_nui-1;joint_wheel_front_left-1/Zhuo qian nun-b-1,fr_lun_xi,qianlun_zhou,joint_wheel_front_right,continuous,0.17982,-0.0456,-0.107,0,0,0,base_link,0.0039253,0.99999,0,,,,,,,,,,,,
wheel_rear_left,0.00036513,0.092546,-6.5629E-07,0,0,0,0.68938,0.0008299,2.0402E-06,-5.5539E-09,0.0013443,1.4118E-09,0.00082985,0,0,0,0,0,0,package://zong_zuang/meshes/wheel_rear_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://zong_zuang/meshes/wheel_rear_left.STL,,joint_wheel_rear_right-1/Mai nun-1/Mai_nui-1;joint_wheel_rear_right-1/Zhuo qian nun-b-1;joint_wheel_rear_right-1/Mai nun-1/Mai_lui_aa-1,rl_lun_xi,houlun_zhou,joint_wheel_rear_left,continuous,-0.17982,0.045,-0.107,0,0,0,base_link,0.0039253,0.99999,0,,,,,,,,,,,,
wheel_rear_right,-0.00036199,-0.092546,1.4112E-06,0,0,0,0.68938,0.00082987,2.0098E-06,1.8036E-08,0.0013443,-1.9367E-08,0.00082988,0,0,0,0,0,0,package://zong_zuang/meshes/wheel_rear_right.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/wheel_rear_right.STL,,joint_wheel_rear_left-1/Mai nun-1/Mai_lui_aa-1;joint_wheel_rear_left-1/Mai nun-1/Mai_nui-1;joint_wheel_rear_left-1/Zhuo qian nun-b-1,rr_lun_xi,houlun_zhou,joint_wheel_rear_right,continuous,-0.18017,-0.044187,-0.107,0,0,0,base_link,0.0039253,0.99999,0,,,,,,,,,,,,
ankle,5.0207E-05,0.0033591,0.17658,0,0,0,0.83309,0.018047,4.1517E-05,-1.1215E-05,0.016655,-9.4404E-05,0.0023155,0,0,0,0,0,0,package://zong_zuang/meshes/ankle.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/ankle.STL,,joint_ankle-1/ankle-h-a-1;joint_ankle-1/ankle-h-b-1,ankle_xi,ankle_zhou,joint_ankle,revolute,0,-0.0006,0.1144,0,0,0,base_link,-0.0039253,-0.99999,0,0,0,0,0,,,,,,,,
knee,-9.7708E-05,-0.032401,0.18689,0,0,0,0.80993,0.012855,3.7374E-06,-1.8407E-06,0.013859,7.2373E-09,0.0011667,0,0,0,0,0,0,package://zong_zuang/meshes/knee.STL,0.20392,0.20392,0.20392,1,0,0,0,0,0,0,package://zong_zuang/meshes/knee.STL,,knee-baa-1/knee-c-b-1;knee-aba-1/knee-a-1;knee-aba-1/knee-c-a-1,knee_xi,knee_zhou,joint_knee,revolute,0,0,0.3495,0,0,0,ankle,-0.0039253,-0.99999,0,0,0,0,0,,,,,,,,
waist_pitch,0.00032904,-0.00021958,0.0086699,0,0,0,0.20046,0.00078713,-3.5008E-07,2.8772E-06,0.00046335,-6.1391E-06,0.00046124,0,0,0,0,0,0,package://zong_zuang/meshes/waist_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/waist_pitch.STL,,Joint_waist_pitch-1/leg-a-ab-1;Joint_waist_pitch-1/leg-a-ac-1,waist_pitch_xi,waist_pitch_zhou,joint_waist_pitch,revolute,0.00015,0,0.3705,0,0,0,knee,-0.0039253,-0.99999,0,0,0,0,0,,,,,,,,
waist_yaw,-0.00039643,-5.0784E-05,0.19775,0,0,0,1.4276,0.021614,-4.0703E-05,0.00040643,0.01143,-5.2936E-06,0.012695,0,0,0,0,0,0,package://zong_zuang/meshes/waist_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/waist_yaw.STL,,joint_neck_pitch-1/neck-b-a-1;joint_neck_pitch-1/neck-b-b-1;joint_neck_pitch-1/neck-b-c-1;joint_neck_pitch-1/下电机固定板-01-1;joint_neck_pitch-1/121212-1;joint_neck_pitch-1/pitch-1/4310_VER_B_3D000120250809202508_1-1;joint_neck_pitch-1/pitch-1/4310__VER_B00012025080920250826_1-1;joint_neck_pitch-1/pitch-1/4310_V1_1__VER_B200001202508092_1-1;joint_neck_pitch-1/222-001-02-1;joint_neck_pitch-1/10000-1,waist_yaw_xi,waist_yaw_zhou,joint_waist_yaw,revolute,-0.00014686,0.00080058,0.06773,0,0,0,waist_pitch,0,0,-1,0,0,0,0,,,,,,,,
neck_yaw,3.7085E-05,-0.00032789,0.04892,0,0,0,0.13752,5.4803E-05,3.1336E-08,-1.2227E-07,6.1375E-05,-4.2913E-07,4.8207E-05,0,0,0,0,0,0,package://zong_zuang/meshes/neck_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/neck_yaw.STL,,joint_neck-a-1/模组连接件001-1;joint_neck-a-1/模组4310-A-1/4310_VER_B_3D000120250809202508_1-1;joint_neck-a-1/模组4310-A-1/4310_V1_1__VER_B200001202508092_1-1;joint_neck-a-1/模组垫块A-001-1;joint_neck-a-1/模组4310-A-1/4310__VER_B00012025080920250826_1-1;joint_neck-a-1/模组垫块B-002-1,neck_yaw_xi,neck_yaw_zhou,joint_neck_yaw,revolute,-0.00070002,0,0.3886,0,0,0,waist_yaw,0,0,-1,0,0,0,0,,,,,,,,
