Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00949074613683787,0.0010372046790148,-0.0239523087254001,0,0,0,3.3840763801232,0.0270049915995291,1.17294877989746E-05,0.000406973329300367,0.0271304584836972,5.71635347526909E-05,0.0485038203157732,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/base_link.STL,,AGV Joft-1/front_left-1/zuo qian lun-a-1;AGV Joft-1/front_left-1/zuo qian lun-f-2;AGV Joft-1/front_left-1/zuo qian lun-d-1;AGV Joft-1/front_left-1/zuo qian lun-e-1;AGV Joft-1/Ajv-a-2;AGV Joft-1/front_left-1/zuo qian lun-c-1;AGV Joft-1/zuo qian lun-h-2;AGV Joft-1/front_left-1/joint_wheel_front_left-1;AGV Joft-1/Ajv-c-1;AGV Joft-1/Ajv-b-1;AGV Joft-1/zuo qian lun-h-1;AGV Joft-1/zuo qian lun-m-1;AGV Joft-1/zuo qian lun-k-1;AGV Joft-1/_X2_5C0F8F664E0A591658F3_X0_202-1;AGV Joft-1/zuo qian lun-n-1;joint_ankle-1/ankle-j-1/1-185265400_1-1;AGV Joft-1/zuo qian lun-o-1;AGV Joft-1/front_left-3/zuo qian lun-f-1;AGV Joft-1/front_left-3/zuo qian lun-a-1;AGV Joft-1/front_left-3/zuo qian lun-c-1;AGV Joft-1/front_left-3/zuo qian lun-d-1;AGV Joft-1/front_left-3/zuo qian lun-e-1;AGV Joft-1/Ajv-b-2;AGV Joft-1/Ajv-D-1;AGV Joft-1/zuo qian lun-g-1;AGV Joft-1/zuo qian lun-z-1;AGV Joft-1/Ajv-G-1;AGV Joft-1/Ajv-G-2;AGV Joft-1/Ajv-D-2;AGV Joft-1/Ajv-F-1;AGV Joft-1/Ajv-H-1;AGV Joft-1/Ajv-a-1;AGV Joft-1/front_left-4/zuo qian lun-f-2;AGV Joft-1/front_left-4/zuo qian lun-e-1;AGV Joft-1/front_left-4/zuo qian lun-f-1;AGV Joft-1/front_left-4/zuo qian lun-d-1;AGV Joft-1/front_left-4/zuo qian lun-a-1;AGV Joft-1/zuo qian lun-t-1;AGV Joft-1/zuo qian lun-y-1;AGV Joft-1/zuo qian lun-y-2;AGV Joft-1/front_left-4/joint_wheel_front_left-1;AGV Joft-1/front_left-4/zuo qian lun-c-1;AGV Joft-1/front_left-5/joint_wheel_front_left-1;AGV Joft-1/front_left-3/joint_wheel_front_left-1;AGV Joft-1/front_left-5/zuo qian lun-c-1;AGV Joft-1/front_left-5/zuo qian lun-f-1;AGV Joft-1/front_left-5/zuo qian lun-e-1;AGV Joft-1/front_left-5/zuo qian lun-d-1;AGV Joft-1/front_left-5/zuo qian lun-a-1;AGV Joft-1/front_left-5/zuo qian lun-f-2;AGV Joft-1/front_left-3/zuo qian lun-f-2;AGV Joft-1/front_left-1/zuo qian lun-f-1,base_xi,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_front_left,0.000365416076077318,0.0925459881763647,-8.84582519650179E-07,0,0,0,0.68938246892937,0.000829892328777425,2.03363751499666E-06,-6.36297361321998E-09,0.00134431053006555,6.58468538623836E-09,0.000829855867264576,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/wheel_front_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/wheel_front_left.STL,,joint_wheel_front_right-1/Mai nun-1/Mai_nui-1;joint_wheel_front_right-1/Mai nun-1/Mai_lui_aa-1;joint_wheel_front_right-1/Zhuo qian nun-b-1,fl_lun_xi,qianlun_zhou,joint_wheel_front_left,revolute,0.180172479808047,0.0435867455631345,-0.106999999999979,0,0,0,base_link,0.003925315879169,0.999992295917948,0,8,1,-6.28,6.28,,,,,6.28,-6.28,,0
wheel_front_right,-0.0003656259153757,-0.0925459873710839,-1.43321801149288E-07,0,0,0,0.689382468651145,0.000829893391928298,2.02987923488147E-06,-3.20938410252831E-09,0.00134431055955204,-1.06591109030269E-08,0.000829854774223306,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/wheel_front_right.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/wheel_front_right.STL,,joint_wheel_front_left-1/Mai nun-1/Mai_lui_aa-1;joint_wheel_front_left-1/Mai nun-1/Mai_nui-1;joint_wheel_front_left-1/Zhuo qian nun-b-1,fr_lun_xi,qianlun_zhou,joint_wheel_front_right,revolute,0.17982,-0.0456,-0.107,0,0,0,base_link,0.0039253,0.99999,0,8,1,-6.28,6.28,,,,,6.28,-6.28,,0
wheel_rear_left,0.000365127490070449,0.0925459892836261,-6.56298395476651E-07,0,0,0,0.68938246930757,0.00082989589308712,2.04015870934154E-06,-5.55385591611482E-09,0.00134431047881826,1.41177441942759E-09,0.000829852354744233,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/wheel_rear_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/wheel_rear_left.STL,,joint_wheel_rear_right-1/Mai nun-1/Mai_nui-1;joint_wheel_rear_right-1/Zhuo qian nun-b-1;joint_wheel_rear_right-1/Mai nun-1/Mai_lui_aa-1,rl_lun_xi,houlun_zhou,joint_wheel_rear_left,revolute,-0.17982,0.045,-0.107,0,0,0,base_link,0.0039253,0.99999,0,8,1,-6.28,6.28,,,,,6.28,-6.28,,0
wheel_rear_right,-0.00036198811341781,-0.0925460016768227,1.4111496159791E-06,0,0,0,0.689382468120169,0.000829870986028243,2.00978361352777E-06,1.80360731508085E-08,0.0013443107176469,-1.93670408953509E-08,0.000829877021970743,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/wheel_rear_right.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/wheel_rear_right.STL,,joint_wheel_rear_left-1/Mai nun-1/Mai_lui_aa-1;joint_wheel_rear_left-1/Mai nun-1/Mai_nui-1;joint_wheel_rear_left-1/Zhuo qian nun-b-1,rr_lun_xi,houlun_zhou,joint_wheel_rear_right,revolute,-0.18017,-0.044187,-0.107,0,0,0,base_link,0.0039253,0.99999,0,8,1,-6.28,6.28,,,,,-6.28,6.28,,0
ankle,5.02005525193638E-05,0.00335908921130257,0.1765782204589,0,0,0,0.833089965578009,0.0180465841279741,4.15165340193357E-05,-1.12145063617255E-05,0.0166552679149734,-9.44039633405155E-05,0.00231552822196866,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/ankle.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/ankle.STL,,joint_ankle-1/ankle-h-a-1;joint_ankle-1/ankle-h-b-1,ankle_xi,ankle_zhou,joint_ankle,revolute,0,-0.000599995377551399,0.114399999999999,0,0,0,base_link,-0.00392531587917046,-0.999992295917948,0,2,1,-0.59,1.05,,,,,1.05,-0.59,,0
knee,-9.77143536038394E-05,-0.0324007337445212,0.186889102418667,0,0,0,0.809932145348119,0.0128549670858199,3.73738043920234E-06,-1.84070823017868E-06,0.0138594207418871,7.23726544094215E-09,0.00116670945300133,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/knee.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/knee.STL,,knee-baa-1/knee-c-b-1;knee-aba-1/knee-a-1;knee-aba-1/knee-c-a-1,knee_xi,knee_zhou,joint_knee,revolute,0,0,0.3495,0,0,0,ankle,-0.00392531587916945,-0.999992295917948,0,2,1,-2.09,0.17,,,,,0.17,-2.09,,0
waist_pitch,0.00032903156016828,-0.000219579436386397,0.0086698948215842,0,0,0,0.200455139896927,0.000787128283413895,-3.50083053191918E-07,2.87715315328635E-06,0.000463351644057681,-6.13914234313066E-06,0.000461242473241706,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/waist_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/waist_pitch.STL,,Joint_waist_pitch-1/leg-a-ab-1;Joint_waist_pitch-1/leg-a-ac-1,waist_pitch_xi,waist_pitch_zhou,joint_waist_pitch,revolute,0.000149998866717072,0,0.370499969635928,0,0,0,knee,-0.00392531587954248,-0.999992295917946,0,0.85,1,-0.44,1.92,,,,,1.92,-0.44,,0
waist_yaw,-0.000396699427907876,-5.10562221284205E-05,0.197746504945434,0,0,0,1.42760654159302,0.0216140356910243,-4.07092480839659E-05,0.000406437921751653,0.0114303830156034,-5.27734926978159E-06,0.0126949098503061,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/waist_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/waist_yaw.STL,,joint_neck_pitch-1/neck-b-a-1;joint_neck_pitch-1/neck-b-b-1;joint_neck_pitch-1/neck-b-c-1;joint_neck_pitch-1/下电机固定板-01-1;joint_neck_pitch-1/121212-1;joint_neck_pitch-1/pitch-1/4310_VER_B_3D000120250809202508_1-1;joint_neck_pitch-1/pitch-1/4310__VER_B00012025080920250826_1-1;joint_neck_pitch-1/pitch-1/4310_V1_1__VER_B200001202508092_1-1;joint_neck_pitch-1/222-001-02-1;joint_neck_pitch-1/10000-1,waist_yaw_xi,waist_yaw_zhou,joint_waist_yaw,revolute,-0.000146858592072974,0.000800582634881031,0.0677299999997152,0,0,0,waist_pitch,0,0,-1,0.85,1,-4.71,4.71,,,,,4.17,-4.71,,0
neck_yaw,3.70784194185791E-05,-0.000327886903369379,0.0489197064174995,0,0,0,0.137523290227584,5.48029060843365E-05,3.13361791393937E-08,-1.22274795890211E-07,6.13751165427272E-05,-4.2913341517283E-07,4.82068880052727E-05,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/neck_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang—JIGOU.SLDASM/meshes/neck_yaw.STL,,joint_neck-a-1/模组连接件001-1;joint_neck-a-1/模组4310-A-1/4310_VER_B_3D000120250809202508_1-1;joint_neck-a-1/模组4310-A-1/4310_V1_1__VER_B200001202508092_1-1;joint_neck-a-1/模组垫块A-001-1;joint_neck-a-1/模组4310-A-1/4310__VER_B00012025080920250826_1-1;joint_neck-a-1/模组垫块B-002-1,neck_yaw_xi,neck_yaw_zhou,joint_neck_yaw,revolute,-0.00070002356284693,0,0.38860000000592,0,0,0,waist_yaw,0,0,-1,3,1,-3.14,3.14,,,,,3.14,-3.14,,0
